service_type,service_subtype,district,month,source_system,sla_hours,out_of_hours,accessibility_need,duplicate_signal,days_open,previous_contacts,vulnerability_flag,deprivation_band,channel,urgency_text,priority
benefits,signposting_to_district,Harlow,11,contact_centre,8,False,False,False,12,4,False,high,phone,resident in Harlow reports eviction risk; resident asks for reasonable adjustment; linked case may exist,high
highways,footway_defect,Braintree,9,case_portal,120,False,False,False,14,1,False,medium,web,footway defect case from case portal,low
housing,neighbourhood_nuisance,Colchester,5,contact_centre,24,False,False,False,10,6,True,medium,phone,homelessness; officer should check supporting evidence,high
housing,no_heating_or_hot_water,Harlow,9,contact_centre,240,False,False,False,8,0,False,high,phone,resident in Harlow reports repair appointment update,medium
council_tax,move_in_or_move_out,Maldon,10,contact_centre,336,False,False,False,0,0,False,medium,phone,direct debit question; previous contact history needs review,low
waste,garden_waste,Castle Point,5,web_form,120,False,False,False,0,1,False,medium,web,missed collection repeated; officer should check supporting evidence,low
waste,missed_collection,Colchester,3,shared_mailbox,120,False,False,False,6,2,False,medium,email,container request; officer should check supporting evidence; linked case may exist,low
waste,assisted_collection,Basildon,4,web_form,168,False,False,False,5,1,False,high,web,assisted collection case from web form,low
highways,winter_or_obstruction,Castle Point,12,case_portal,48,False,False,False,0,3,False,medium,web,resident in Castle Point reports carriageway flooding; resident asks for reasonable adjustment,low
waste,recycling_centre_query,Rochford,11,web_form,120,False,False,False,0,0,False,medium,web,recycling centre opening times; officer should check supporting evidence,low
adult_social_care,equipment_or_adaptation,Chelmsford,1,case_portal,4,False,False,False,8,2,False,medium,in_person,care package failing; officer should check supporting evidence; resident asks for reasonable adjustment,high
council_tax,move_in_or_move_out,Basildon,9,shared_mailbox,8,False,False,False,10,3,False,high,email,resident in Basildon reports summons received,medium
highways,flooding_or_drainage,Basildon,11,contact_centre,48,False,False,False,6,2,False,medium,phone,flooding or drainage case from contact centre,low
benefits,overpayment_or_appeal,Harlow,10,web_form,120,False,False,False,7,4,False,medium,web,resident in Harlow reports evidence already supplied,low
council_tax,direct_debit,Chelmsford,1,web_form,24,False,False,False,7,0,True,medium,web,resident in Chelmsford reports bailiff letter received,medium
benefits,change_of_circumstances,Rochford,7,contact_centre,72,False,False,True,4,2,False,low,phone,change of circumstances case from contact centre; resident asks for reasonable adjustment,low
children_services,safeguarding_child,Harlow,7,web_form,24,False,False,False,3,1,False,high,web,safeguarding child case from web form,high
highways,pothole_or_carriageway,Harlow,10,case_portal,168,False,False,False,11,0,False,high,web,roadworks update; previous contact history needs review,low
adult_social_care,care_package_breakdown,Tendring,3,contact_centre,168,False,False,False,12,1,True,high,phone,resident in Tendring reports information about support options,high
adult_social_care,equipment_or_adaptation,Colchester,4,web_form,168,False,False,False,6,4,False,medium,web,equipment or adaptation case from web form; resident asks for reasonable adjustment,medium
benefits,housing_benefit_query,Braintree,10,web_form,240,False,False,False,9,0,False,medium,web,request for update; previous contact history needs review; resident asks for reasonable adjustment,low
children_services,family_support,Epping Forest,8,contact_centre,120,False,False,False,0,1,False,medium,phone,school admission query; officer should check supporting evidence,low
adult_social_care,equipment_or_adaptation,Castle Point,2,shared_mailbox,24,False,False,False,11,6,True,medium,email,resident left without support; previous contact history needs review,high
highways,footway_defect,Colchester,1,contact_centre,240,False,False,False,3,1,False,low,phone,minor pothole report; officer should check supporting evidence,low
benefits,evidence_request,Chelmsford,4,contact_centre,120,False,False,False,0,1,True,medium,phone,resident in Chelmsford reports benefit calculation query; linked case may exist,medium
highways,flooding_or_drainage,Uttlesford,9,web_form,24,False,False,False,8,4,False,low,web,resident in Uttlesford reports unsafe road defect near school,medium
council_tax,payment_plan,Basildon,3,contact_centre,24,False,False,False,2,5,False,high,phone,payment plan case from contact centre; linked case may exist,medium
benefits,housing_benefit_query,Brentwood,11,shared_mailbox,4,False,False,True,6,4,False,low,email,urgent cost of living support; previous contact history needs review,medium
housing,access_to_property,Tendring,12,web_form,168,False,False,False,3,1,False,high,web,resident in Tendring reports repair appointment update; resident asks for reasonable adjustment,low
adult_social_care,care_package_breakdown,Tendring,11,shared_mailbox,168,False,False,False,3,6,False,high,email,equipment delay; officer should check supporting evidence; resident asks for reasonable adjustment,medium
council_tax,payment_plan,Epping Forest,8,contact_centre,48,False,False,False,4,3,False,medium,phone,discount evidence supplied; previous contact history needs review,low
highways,permit_or_roadworks,Basildon,4,contact_centre,72,False,False,False,6,1,False,medium,phone,drain blocked after rain; previous contact history needs review,low
children_services,send_support,Epping Forest,12,web_form,120,False,False,False,0,6,False,medium,web,general family support question; previous contact history needs review,medium
children_services,school_admission,Tendring,9,teams_referral,168,False,False,False,3,2,True,medium,in_person,school admission case from teams referral; linked case may exist,medium
children_services,adoption_or_fostering,Tendring,1,case_portal,72,False,False,False,6,4,True,high,in_person,family needs early help; previous contact history needs review; linked case may exist,high
highways,traffic_signal_fault,Colchester,10,web_form,8,False,False,False,7,3,False,medium,web,resident in Colchester reports blocked emergency access,medium
children_services,early_help,Harlow,11,web_form,120,False,False,False,2,0,True,high,web,fostering information request; officer should check supporting evidence,medium
children_services,family_support,Epping Forest,12,case_portal,240,False,False,False,7,0,True,medium,web,family support case from case portal,medium
housing,routine_repair_update,Chelmsford,7,web_form,240,False,False,False,10,1,False,medium,web,repair appointment update; previous contact history needs review,low
council_tax,bill_query,Colchester,4,case_portal,240,False,False,False,9,1,True,medium,web,single person discount update; officer should check supporting evidence,medium
children_services,early_help,Chelmsford,10,contact_centre,336,True,False,False,3,2,True,medium,phone,early help case from contact centre,high
adult_social_care,safeguarding_adult,Harlow,9,web_form,4,False,False,False,7,5,True,high,web,resident in Harlow reports resident left without support,high
housing,damp_mould_or_disrepair,Basildon,5,shared_mailbox,168,False,False,False,9,1,False,high,email,damp mould or disrepair case from shared mailbox,low
highways,flooding_or_drainage,Braintree,2,contact_centre,24,False,False,False,14,3,False,medium,phone,flooding or drainage case from contact centre; resident asks for reasonable adjustment,medium
children_services,safeguarding_child,Basildon,1,contact_centre,48,True,False,False,8,4,False,high,phone,safeguarding child case from contact centre,high
adult_social_care,safeguarding_adult,Braintree,5,shared_mailbox,4,False,False,False,9,0,True,low,email,safeguarding adult case from shared mailbox,high
highways,pothole_or_carriageway,Colchester,6,contact_centre,168,False,False,False,2,3,False,medium,phone,drain blocked after rain; officer should check supporting evidence,low
housing,access_to_property,Basildon,3,web_form,240,False,False,False,11,1,False,high,web,general housing enquiry; officer should check supporting evidence,medium
children_services,school_admission,Tendring,11,case_portal,240,False,False,False,5,1,False,high,in_person,resident in Tendring reports school admission query,medium
children_services,send_support,Uttlesford,1,contact_centre,240,False,False,False,8,1,False,low,phone,school admission query; previous contact history needs review,medium
council_tax,bill_query,Harlow,9,contact_centre,240,False,False,False,3,0,False,high,phone,bill query case from contact centre,low
highways,street_lighting,Tendring,3,web_form,168,False,False,False,2,0,False,medium,web,minor pothole report; previous contact history needs review,low
council_tax,single_person_discount,Basildon,6,shared_mailbox,336,False,False,False,1,1,False,high,email,direct debit question; previous contact history needs review,low
waste,assisted_collection,Castle Point,3,contact_centre,24,False,False,False,2,1,False,medium,phone,hazardous fly tipping; officer should check supporting evidence; resident asks for reasonable adjustment,low
waste,missed_collection,Chelmsford,11,shared_mailbox,120,False,False,False,8,0,False,medium,email,missed collection case from shared mailbox; resident asks for reasonable adjustment,low
waste,missed_collection,Basildon,11,shared_mailbox,168,False,False,False,1,1,False,high,email,missed collection case from shared mailbox,low
benefits,cost_of_living_support,Epping Forest,6,web_form,168,False,False,False,9,2,True,low,web,cost of living support case from web form; resident asks for reasonable adjustment,medium
highways,permit_or_roadworks,Castle Point,1,shared_mailbox,168,False,False,False,10,0,False,medium,email,resident in Castle Point reports street light out on footpath,low
council_tax,single_person_discount,Tendring,7,shared_mailbox,120,False,False,False,0,0,False,high,email,discount evidence supplied; previous contact history needs review,low
highways,pothole_or_carriageway,Tendring,1,web_form,336,False,False,False,11,0,False,high,web,resident in Tendring reports roadworks update; resident asks for reasonable adjustment,low
adult_social_care,financial_assessment,Harlow,11,contact_centre,72,True,False,False,11,2,True,medium,phone,equipment delay; previous contact history needs review,high
children_services,school_admission,Basildon,9,contact_centre,4,False,False,False,4,5,False,high,phone,resident in Basildon reports safeguarding concern for child,high
highways,permit_or_roadworks,Basildon,10,case_portal,4,False,False,False,5,1,True,high,web,permit or roadworks case from case portal,medium
children_services,safeguarding_child,Basildon,12,contact_centre,8,False,False,False,2,1,False,high,phone,resident in Basildon reports general family support question,high
waste,recycling_centre_query,Brentwood,11,web_form,120,False,False,False,8,0,False,medium,web,garden waste subscription question; previous contact history needs review; resident asks for reasonable adjustment,low
adult_social_care,safeguarding_adult,Epping Forest,6,contact_centre,24,False,False,False,7,1,True,medium,phone,information about support options; previous contact history needs review,high
adult_social_care,care_package_breakdown,Uttlesford,10,web_form,8,False,False,False,0,2,False,medium,web,care package failing; officer should check supporting evidence,high
children_services,safeguarding_child,Harlow,7,contact_centre,4,False,False,False,5,0,True,high,phone,school admission query; officer should check supporting evidence,high
council_tax,payment_plan,Tendring,3,case_portal,72,False,False,False,5,0,False,high,in_person,discount evidence supplied; officer should check supporting evidence,low
housing,homelessness_prevention,Braintree,11,teams_referral,240,False,False,False,0,1,False,medium,in_person,general housing enquiry; previous contact history needs review,medium
housing,neighbourhood_nuisance,Uttlesford,8,case_portal,72,False,False,False,4,3,False,low,web,neighbourhood nuisance case from case portal,low
highways,pothole_or_carriageway,Harlow,7,web_form,336,False,False,False,4,1,False,medium,web,roadworks update; previous contact history needs review,low
benefits,change_of_circumstances,Colchester,2,contact_centre,336,False,False,False,4,0,False,medium,phone,request for update; officer should check supporting evidence; linked case may exist,low
highways,flooding_or_drainage,Epping Forest,8,web_form,336,False,False,False,9,0,False,medium,web,roadworks update; previous contact history needs review; resident asks for reasonable adjustment,low
adult_social_care,safeguarding_adult,Harlow,2,shared_mailbox,24,False,False,False,6,3,True,high,email,resident in Harlow reports safeguarding concern; linked case may exist,high
children_services,send_support,Colchester,3,contact_centre,120,False,False,False,7,2,False,medium,phone,resident in Colchester reports fostering information request,medium
children_services,send_support,Rochford,8,contact_centre,168,False,False,False,6,0,True,low,phone,send support case from contact centre,medium
highways,pothole_or_carriageway,Basildon,5,web_form,168,False,False,False,10,1,False,medium,web,resident in Basildon reports roadworks update; resident asks for reasonable adjustment,low
benefits,discretionary_payment,Braintree,4,contact_centre,72,False,False,False,3,4,True,medium,phone,payment delayed; previous contact history needs review,medium
children_services,send_support,Colchester,3,web_form,168,False,False,True,9,2,False,low,web,family needs early help; officer should check supporting evidence,medium
highways,pothole_or_carriageway,Epping Forest,5,case_portal,168,False,False,False,10,3,False,medium,web,pothole or carriageway case from case portal; resident asks for reasonable adjustment,low
children_services,school_admission,Epping Forest,6,contact_centre,4,False,False,False,7,3,False,medium,phone,school admission case from contact centre,medium
waste,container_request,Colchester,10,web_form,48,False,False,False,0,2,False,medium,web,fly tipping blocking access; officer should check supporting evidence,low
children_services,adoption_or_fostering,Chelmsford,7,web_form,168,False,False,True,9,2,True,medium,web,fostering information request; officer should check supporting evidence,medium
benefits,change_of_circumstances,Chelmsford,8,web_form,336,False,False,False,10,2,False,medium,web,resident in Chelmsford reports benefit calculation query,low
housing,routine_repair_update,Harlow,4,web_form,72,False,False,False,11,0,False,high,web,resident in Harlow reports temporary accommodation query,medium
highways,traffic_signal_fault,Basildon,3,web_form,24,False,False,False,5,0,True,high,web,traffic signal fault case from web form; resident asks for reasonable adjustment,high
children_services,safeguarding_child,Colchester,2,contact_centre,8,False,False,False,0,7,True,medium,phone,risk of harm; previous contact history needs review,high
housing,access_to_property,Castle Point,1,web_form,4,False,False,False,15,7,False,medium,web,access to property case from web form; linked case may exist,medium
housing,homelessness_prevention,Braintree,12,shared_mailbox,48,False,True,False,12,5,True,medium,email,no heating; previous contact history needs review,high
council_tax,bill_query,Brentwood,10,web_form,168,False,False,False,7,0,False,low,web,discount evidence supplied; previous contact history needs review,low
council_tax,bill_query,Braintree,9,shared_mailbox,240,False,False,False,10,2,False,medium,email,bill query case from shared mailbox; resident asks for reasonable adjustment,low
council_tax,discount_or_exemption,Braintree,7,teams_referral,168,False,False,False,0,2,False,medium,in_person,discount or exemption case from teams referral; resident asks for reasonable adjustment,low
highways,winter_or_obstruction,Colchester,10,web_form,168,False,False,False,0,3,False,medium,web,request for inspection update; officer should check supporting evidence; resident asks for reasonable adjustment; linked case may exist,low
highways,traffic_signal_fault,Harlow,9,web_form,24,False,False,False,4,1,False,high,web,traffic signal fault case from web form,medium
children_services,safeguarding_child,Braintree,11,contact_centre,8,False,False,False,8,0,False,medium,phone,school admission query; previous contact history needs review,medium
children_services,school_transport,Basildon,5,case_portal,24,False,True,False,3,1,True,high,in_person,resident in Basildon reports risk of harm,high
waste,clinical_or_special_waste,Epping Forest,7,web_form,24,False,False,True,6,4,False,medium,web,missed collection repeated; previous contact history needs review,medium
adult_social_care,equipment_or_adaptation,Colchester,10,teams_referral,24,False,False,False,4,1,True,medium,in_person,resident in Colchester reports care package failing; linked case may exist,high
children_services,school_admission,Chelmsford,12,web_form,168,False,False,False,1,3,False,medium,web,school admission case from web form,low
housing,neighbourhood_nuisance,Tendring,3,case_portal,24,False,False,False,11,4,True,high,web,severe damp; officer should check supporting evidence,high
highways,permit_or_roadworks,Tendring,1,web_form,168,False,False,False,12,1,False,high,web,resident in Tendring reports minor pothole report,low
children_services,early_help,Tendring,12,shared_mailbox,336,False,True,True,9,3,True,high,email,resident in Tendring reports school admission query,high
highways,flooding_or_drainage,Chelmsford,2,shared_mailbox,168,False,False,False,9,5,False,medium,email,resident in Chelmsford reports large pothole reported twice,low
benefits,change_of_circumstances,Tendring,6,web_form,24,False,False,True,5,2,False,high,web,rent arrears risk; previous contact history needs review; resident asks for reasonable adjustment,medium
children_services,early_help,Castle Point,4,web_form,120,False,False,False,1,1,False,medium,web,early help case from web form,low
housing,neighbourhood_nuisance,Castle Point,5,web_form,8,False,False,False,6,8,False,medium,web,homelessness; previous contact history needs review; resident asks for reasonable adjustment,high
council_tax,payment_plan,Braintree,9,contact_centre,120,False,False,False,2,4,False,low,phone,moving home notification; officer should check supporting evidence,low
housing,access_to_property,Tendring,3,case_portal,48,False,False,False,3,1,True,high,web,resident in Tendring reports mould recurring,medium
children_services,family_support,Brentwood,1,web_form,24,False,False,False,6,0,False,low,web,risk of harm; officer should check supporting evidence; linked case may exist,medium
adult_social_care,carer_support,Uttlesford,4,case_portal,8,False,False,False,9,5,False,low,in_person,resident in Uttlesford reports care package failing,high
highways,street_lighting,Chelmsford,3,contact_centre,168,True,False,False,14,0,False,medium,phone,drain blocked after rain; officer should check supporting evidence,low
highways,footway_defect,Chelmsford,3,case_portal,168,False,False,False,1,2,False,low,web,drain blocked after rain; officer should check supporting evidence; resident asks for reasonable adjustment,low
highways,footway_defect,Brentwood,1,web_form,240,False,False,False,6,1,False,low,web,roadworks update; previous contact history needs review; resident asks for reasonable adjustment,low
highways,permit_or_roadworks,Chelmsford,4,web_form,168,False,False,False,4,4,False,low,web,resident in Chelmsford reports roadworks update,low
benefits,cost_of_living_support,Braintree,3,contact_centre,120,False,False,False,9,2,False,medium,phone,request for update; previous contact history needs review,medium
benefits,discretionary_payment,Basildon,5,contact_centre,168,False,False,False,4,1,False,medium,phone,discretionary payment case from contact centre; linked case may exist,low
benefits,cost_of_living_support,Braintree,11,contact_centre,240,False,False,False,5,2,True,medium,phone,resident in Braintree reports benefit calculation query,medium
highways,footway_defect,Brentwood,2,shared_mailbox,168,False,False,False,9,3,False,low,email,resident in Brentwood reports roadworks update,low
children_services,early_help,Colchester,8,case_portal,168,False,True,False,0,3,True,medium,web,SEND support delayed; officer should check supporting evidence,medium
highways,street_lighting,Harlow,9,contact_centre,336,False,False,False,0,0,False,high,phone,resident in Harlow reports minor pothole report,low
benefits,change_of_circumstances,Tendring,12,contact_centre,240,False,True,False,8,1,True,high,phone,change of circumstances case from contact centre,medium
waste,missed_collection,Harlow,4,web_form,48,False,False,False,8,2,False,high,web,resident in Harlow reports clinical waste not collected,medium
children_services,safeguarding_child,Chelmsford,10,case_portal,4,False,False,False,1,3,True,medium,in_person,SEND support delayed; previous contact history needs review,high
council_tax,recovery_or_summons,Chelmsford,7,shared_mailbox,120,False,False,False,0,3,False,medium,email,recovery or summons case from shared mailbox; resident asks for reasonable adjustment; linked case may exist,low
highways,pothole_or_carriageway,Rochford,9,shared_mailbox,120,False,False,False,8,3,False,low,email,pothole or carriageway case from shared mailbox; linked case may exist,medium
council_tax,direct_debit,Braintree,5,web_form,240,False,False,False,0,0,False,high,web,resident in Braintree reports moving home notification,low
housing,damp_mould_or_disrepair,Braintree,7,contact_centre,48,False,True,False,3,0,True,medium,phone,homelessness; officer should check supporting evidence,high
highways,street_lighting,Maldon,11,contact_centre,120,False,False,False,11,4,False,medium,phone,street lighting case from contact centre,medium
highways,footway_defect,Braintree,4,shared_mailbox,504,False,False,False,0,1,False,high,email,minor pothole report; officer should check supporting evidence,low
council_tax,discount_or_exemption,Harlow,7,contact_centre,168,False,False,False,0,2,False,high,phone,payment plan needed; officer should check supporting evidence,low
highways,flooding_or_drainage,Chelmsford,1,web_form,168,False,False,False,3,2,False,medium,web,resident in Chelmsford reports street light out on footpath,low
adult_social_care,care_package_breakdown,Tendring,8,contact_centre,168,False,False,False,0,2,False,high,phone,resident in Tendring reports information about support options,medium
highways,winter_or_obstruction,Colchester,12,case_portal,8,False,True,False,6,4,True,medium,web,winter or obstruction case from case portal; resident asks for reasonable adjustment,high
children_services,safeguarding_child,Braintree,9,teams_referral,24,False,False,False,9,1,False,medium,in_person,safeguarding child case from teams referral; linked case may exist,high
highways,flooding_or_drainage,Basildon,5,contact_centre,4,False,False,False,17,5,False,high,phone,carriageway flooding; previous contact history needs review; resident asks for reasonable adjustment,high
children_services,early_help,Colchester,3,contact_centre,240,False,False,False,6,0,False,medium,phone,resident in Colchester reports fostering information request; linked case may exist,low
adult_social_care,carer_support,Chelmsford,12,teams_referral,168,False,False,False,2,1,False,medium,in_person,assessment overdue; officer should check supporting evidence,low
highways,footway_defect,Brentwood,11,shared_mailbox,72,False,False,False,6,3,False,low,email,resident in Brentwood reports drain blocked after rain,low
children_services,family_support,Uttlesford,11,teams_referral,168,False,False,False,2,0,False,low,in_person,family support case from teams referral,low
council_tax,discount_or_exemption,Colchester,5,web_form,168,False,False,False,10,2,True,medium,web,resident in Colchester reports direct debit question,medium
children_services,send_support,Harlow,11,case_portal,48,False,False,True,9,2,False,high,web,resident in Harlow reports family crisis today; linked case may exist,medium
highways,footway_defect,Harlow,12,case_portal,504,False,False,True,12,4,False,medium,web,resident in Harlow reports minor pothole report,low
adult_social_care,equipment_or_adaptation,Tendring,1,case_portal,72,False,False,False,8,6,True,high,in_person,mobility worsening; officer should check supporting evidence,high
council_tax,bill_query,Tendring,9,web_form,72,False,False,False,3,2,False,high,web,bill query case from web form,low
council_tax,payment_plan,Colchester,9,web_form,168,False,False,False,9,4,False,medium,web,discount evidence supplied; officer should check supporting evidence,low
children_services,send_support,Braintree,12,web_form,240,False,False,False,11,1,False,medium,web,school admission query; previous contact history needs review; resident asks for reasonable adjustment; linked case may exist,medium
waste,missed_collection,Harlow,7,case_portal,168,False,False,False,8,2,False,medium,web,missed collection repeated; officer should check supporting evidence; linked case may exist,low
waste,fly_tipping,Brentwood,2,web_form,48,False,False,True,3,2,False,low,web,hazardous fly tipping; officer should check supporting evidence,low
housing,no_heating_or_hot_water,Basildon,7,web_form,48,False,True,False,8,0,True,high,web,no heating or hot water case from web form; resident asks for reasonable adjustment,high
waste,recycling_centre_query,Chelmsford,11,web_form,240,False,False,False,1,1,False,medium,web,garden waste subscription question; officer should check supporting evidence; resident asks for reasonable adjustment,low
housing,routine_repair_update,Castle Point,3,contact_centre,48,False,False,False,13,6,False,medium,phone,child in household; officer should check supporting evidence; linked case may exist,medium
adult_social_care,financial_assessment,Colchester,10,case_portal,24,False,False,False,16,2,True,low,in_person,hospital discharge risk; previous contact history needs review; linked case may exist,high
adult_social_care,equipment_or_adaptation,Braintree,6,teams_referral,120,False,False,False,7,2,False,medium,in_person,mobility worsening; previous contact history needs review,medium
highways,permit_or_roadworks,Brentwood,11,web_form,72,False,False,False,20,4,True,medium,web,resident in Brentwood reports street light out on footpath,high
benefits,overpayment_or_appeal,Colchester,2,web_form,8,False,False,False,9,5,False,medium,web,overpayment or appeal case from web form; linked case may exist,medium
housing,damp_mould_or_disrepair,Brentwood,6,teams_referral,168,False,False,False,5,5,False,medium,in_person,routine repair question; officer should check supporting evidence,medium
highways,street_lighting,Chelmsford,7,case_portal,504,False,False,False,2,5,False,medium,web,resident in Chelmsford reports minor pothole report; linked case may exist,low
council_tax,recovery_or_summons,Colchester,3,contact_centre,120,False,False,False,10,1,False,medium,phone,moving home notification; officer should check supporting evidence,medium
children_services,school_admission,Castle Point,2,case_portal,48,False,False,True,9,2,False,medium,in_person,school transport issue; previous contact history needs review,medium
housing,homelessness_prevention,Chelmsford,1,contact_centre,24,False,False,False,21,1,True,medium,phone,no heating; officer should check supporting evidence,high
benefits,overpayment_or_appeal,Braintree,9,shared_mailbox,168,True,False,False,7,0,False,low,email,change of circumstances form; previous contact history needs review,low
council_tax,bill_query,Epping Forest,5,contact_centre,240,False,False,False,7,0,False,medium,phone,resident in Epping Forest reports single person discount update; resident asks for reasonable adjustment; linked case may exist,low
adult_social_care,blue_badge_or_mobility,Harlow,8,shared_mailbox,24,False,False,False,4,4,True,high,email,blue badge or mobility case from shared mailbox; resident asks for reasonable adjustment,high
benefits,overpayment_or_appeal,Chelmsford,9,web_form,48,False,False,False,7,5,False,medium,web,no money for food; previous contact history needs review,medium
highways,street_lighting,Tendring,2,web_form,168,False,False,False,8,7,False,high,web,street lighting case from web form; linked case may exist,medium
benefits,overpayment_or_appeal,Epping Forest,1,case_portal,120,False,True,False,1,2,True,medium,web,payment delayed; officer should check supporting evidence,medium
benefits,housing_benefit_query,Castle Point,11,case_portal,48,False,False,False,7,2,False,medium,web,appeal deadline approaching; officer should check supporting evidence,low
adult_social_care,equipment_or_adaptation,Basildon,12,web_form,168,False,False,False,11,1,True,high,web,carer is struggling; officer should check supporting evidence,high
council_tax,recovery_or_summons,Tendring,11,web_form,168,False,False,True,8,2,False,medium,web,resident in Tendring reports moving home notification,medium
highways,permit_or_roadworks,Braintree,3,web_form,504,False,False,False,4,4,False,low,web,resident in Braintree reports minor pothole report; resident asks for reasonable adjustment,low
council_tax,recovery_or_summons,Colchester,7,contact_centre,48,False,False,False,0,1,False,medium,phone,resident in Colchester reports discount evidence supplied,medium
waste,recycling_centre_query,Castle Point,10,web_form,120,False,False,False,3,3,False,medium,web,resident in Castle Point reports fly tipping blocking access; linked case may exist,low
benefits,housing_benefit_query,Braintree,1,web_form,72,False,False,False,2,2,False,medium,web,resident in Braintree reports payment delayed; linked case may exist,low
benefits,signposting_to_district,Chelmsford,12,shared_mailbox,48,False,False,False,4,3,False,high,email,resident in Chelmsford reports payment delayed,low
housing,neighbourhood_nuisance,Colchester,7,shared_mailbox,24,True,True,False,14,0,True,medium,email,resident in Colchester reports unsafe electrics; resident asks for reasonable adjustment; linked case may exist,high
benefits,change_of_circumstances,Harlow,11,contact_centre,120,False,False,False,9,4,False,high,phone,benefit calculation query; previous contact history needs review,medium
adult_social_care,care_package_breakdown,Castle Point,5,contact_centre,168,False,False,False,7,0,False,medium,phone,care package breakdown case from contact centre,medium
benefits,overpayment_or_appeal,Braintree,2,contact_centre,168,False,False,False,4,0,False,medium,phone,resident in Braintree reports request for update,low
council_tax,discount_or_exemption,Chelmsford,12,contact_centre,168,True,False,False,7,2,False,low,phone,single person discount update; previous contact history needs review; resident asks for reasonable adjustment,medium
children_services,send_support,Tendring,5,contact_centre,120,False,False,False,4,2,False,high,phone,resident in Tendring reports general family support question,medium
children_services,school_transport,Brentwood,2,contact_centre,168,False,False,False,2,2,False,low,phone,school transport case from contact centre,low
adult_social_care,equipment_or_adaptation,Basildon,5,contact_centre,48,False,False,False,14,5,False,high,phone,care package failing; officer should check supporting evidence,high
housing,damp_mould_or_disrepair,Braintree,11,contact_centre,120,False,False,False,6,0,False,medium,phone,damp mould or disrepair case from contact centre; linked case may exist,low
adult_social_care,care_package_breakdown,Harlow,10,web_form,336,False,False,False,12,1,False,high,web,care charge question; previous contact history needs review,medium
benefits,cost_of_living_support,Harlow,4,web_form,24,False,False,False,6,3,True,high,web,cost of living support case from web form,high
highways,flooding_or_drainage,Epping Forest,3,web_form,336,False,False,False,9,0,False,medium,web,flooding or drainage case from web form,low
adult_social_care,financial_assessment,Chelmsford,2,case_portal,336,False,False,False,7,1,False,medium,in_person,resident in Chelmsford reports care charge question,medium
waste,container_request,Epping Forest,9,contact_centre,24,False,False,False,4,3,False,medium,phone,hazardous fly tipping; officer should check supporting evidence,medium
waste,garden_waste,Tendring,10,web_form,336,False,False,False,4,5,False,high,web,resident in Tendring reports container request,low
highways,winter_or_obstruction,Basildon,11,contact_centre,240,True,False,False,17,0,False,high,phone,winter or obstruction case from contact centre,medium
