case_id,service_type,days_open,previous_contacts,vulnerability_flag,deprivation_band,channel,urgency_text,priority
CASE-00048,waste,4,3,False,medium,email,payment query needs resolution this week,low
CASE-00049,adult_social_care,11,3,True,high,email,routine form completion question,high
CASE-00050,children_services,0,0,True,medium,phone,risk of homelessness within days,high
CASE-00051,council_tax,8,1,False,low,email,missed appointment causing inconvenience,low
CASE-00052,highways,2,2,False,medium,web,minor issue reported online,low
CASE-00053,highways,6,2,False,medium,phone,routine form completion question,low
CASE-00054,waste,7,1,False,medium,email,repeat contact and resident is frustrated,low
CASE-00055,children_services,8,2,False,medium,email,urgent care support appears to be failing,medium
CASE-00056,benefits,3,4,False,medium,web,payment query needs resolution this week,low
CASE-00057,council_tax,9,3,False,high,phone,urgent care support appears to be failing,high
CASE-00058,housing,0,1,True,high,web,risk of homelessness within days,high
CASE-00059,children_services,8,1,False,high,phone,repeat contact and resident is frustrated,medium
CASE-00060,highways,3,0,True,high,web,no heating and vulnerable resident affected,high
CASE-00061,adult_social_care,2,3,True,medium,email,general enquiry about service times,high
CASE-00062,adult_social_care,3,0,False,low,web,payment query needs resolution this week,low
CASE-00063,council_tax,6,2,True,medium,web,repeat contact and resident is frustrated,medium
CASE-00064,waste,2,0,False,medium,web,routine form completion question,low
CASE-00065,highways,3,4,False,medium,in_person,routine form completion question,low
CASE-00066,children_services,0,1,False,high,email,routine form completion question,low
CASE-00067,waste,2,3,False,low,phone,minor issue reported online,low
CASE-00068,benefits,8,1,False,low,email,routine form completion question,low
CASE-00069,children_services,3,2,False,low,web,request for update when possible,low
CASE-00070,benefits,0,2,False,low,in_person,repair delay affecting daily routine,low
CASE-00071,highways,4,1,False,medium,in_person,missed appointment causing inconvenience,low
CASE-00072,waste,1,2,False,high,phone,safeguarding concern raised by family member,medium
CASE-00073,highways,1,0,True,high,phone,risk of homelessness within days,high
CASE-00074,housing,4,2,False,medium,web,routine form completion question,low
CASE-00075,housing,4,0,False,low,phone,request for update when possible,low
CASE-00076,children_services,4,2,False,medium,email,routine form completion question,low
CASE-00077,benefits,1,1,False,medium,email,request for update when possible,low
CASE-00078,housing,1,0,True,low,web,repair delay affecting daily routine,medium
CASE-00079,council_tax,7,4,False,low,email,missed appointment causing inconvenience,low
CASE-00080,benefits,6,0,True,low,web,minor issue reported online,medium
CASE-00081,waste,9,3,False,medium,web,routine form completion question,low
CASE-00082,benefits,3,0,False,high,email,repeat contact and resident is frustrated,low
CASE-00083,council_tax,5,2,False,medium,web,routine form completion question,low
CASE-00084,waste,2,2,False,medium,web,request for update when possible,low
CASE-00085,council_tax,0,3,False,low,web,general enquiry about service times,low
CASE-00086,waste,8,4,False,low,email,repeat contact and resident is frustrated,low
CASE-00087,highways,3,2,False,low,web,routine form completion question,low
CASE-00088,council_tax,5,1,False,low,phone,repeat contact and resident is frustrated,low
CASE-00089,children_services,10,2,False,medium,phone,repair delay affecting daily routine,medium
CASE-00090,waste,10,1,False,medium,web,urgent care support appears to be failing,medium
CASE-00091,adult_social_care,6,1,False,high,phone,unsafe road defect near school entrance,high
CASE-00092,children_services,0,6,False,medium,web,repair delay affecting daily routine,medium
CASE-00093,children_services,3,2,False,medium,phone,routine form completion question,medium
CASE-00094,council_tax,7,1,False,high,email,missed appointment causing inconvenience,low
CASE-00095,housing,4,6,True,high,web,safeguarding concern raised by family member,high
CASE-00096,council_tax,6,0,False,high,web,payment query needs resolution this week,low
CASE-00097,children_services,0,3,False,medium,email,repeat contact and resident is frustrated,medium
CASE-00098,adult_social_care,2,5,False,high,phone,general enquiry about service times,medium
CASE-00099,council_tax,2,1,False,low,email,minor issue reported online,low
CASE-00100,adult_social_care,0,2,False,high,web,routine form completion question,low
CASE-00101,adult_social_care,5,2,False,medium,phone,risk of homelessness within days,high
CASE-00102,council_tax,10,0,False,high,in_person,routine form completion question,medium
CASE-00103,waste,1,0,False,low,phone,repair delay affecting daily routine,low
CASE-00104,highways,8,4,True,high,in_person,unsafe road defect near school entrance,high
CASE-00105,adult_social_care,1,1,False,medium,phone,missed appointment causing inconvenience,low
CASE-00106,council_tax,0,1,False,medium,phone,repeat contact and resident is frustrated,low
CASE-00107,highways,8,0,False,high,phone,safeguarding concern raised by family member,medium
CASE-00108,children_services,8,6,False,low,email,risk of homelessness within days,high
CASE-00109,adult_social_care,2,1,False,medium,email,repeat contact and resident is frustrated,low
CASE-00110,housing,0,0,False,medium,phone,routine form completion question,low
CASE-00111,highways,13,1,True,medium,email,risk of homelessness within days,high
CASE-00112,highways,6,0,False,low,web,no heating and vulnerable resident affected,medium
CASE-00113,benefits,1,2,True,high,web,risk of homelessness within days,high
CASE-00114,children_services,0,1,False,high,web,routine form completion question,low
CASE-00115,adult_social_care,3,0,False,high,web,request for update when possible,low
CASE-00116,children_services,0,0,False,low,phone,no heating and vulnerable resident affected,medium
CASE-00117,adult_social_care,7,3,False,medium,phone,safeguarding concern raised by family member,high
CASE-00118,adult_social_care,12,2,False,low,in_person,urgent care support appears to be failing,high
CASE-00119,adult_social_care,7,4,True,high,phone,safeguarding concern raised by family member,high
CASE-00120,benefits,7,0,True,medium,web,missed appointment causing inconvenience,medium
CASE-00121,housing,3,5,False,medium,web,risk of homelessness within days,medium
CASE-00122,housing,2,5,False,low,web,repeat contact and resident is frustrated,low
CASE-00123,benefits,0,2,False,medium,phone,repeat contact and resident is frustrated,low
CASE-00124,housing,16,3,False,high,phone,routine form completion question,high
CASE-00125,waste,3,2,False,medium,phone,request for update when possible,low
CASE-00126,waste,5,4,True,low,web,repeat contact and resident is frustrated,medium
CASE-00127,benefits,0,3,False,high,web,no heating and vulnerable resident affected,medium
CASE-00128,benefits,9,0,False,medium,web,repeat contact and resident is frustrated,low
CASE-00129,benefits,0,3,False,high,in_person,urgent care support appears to be failing,high
CASE-00130,benefits,1,5,True,high,web,minor issue reported online,medium
CASE-00131,highways,1,4,True,low,phone,request for update when possible,medium
CASE-00132,waste,3,1,False,medium,email,repeat contact and resident is frustrated,low
CASE-00133,adult_social_care,3,2,True,medium,phone,urgent care support appears to be failing,high
CASE-00134,waste,2,3,True,medium,phone,urgent care support appears to be failing,high
CASE-00135,highways,5,3,False,low,phone,request for update when possible,medium
CASE-00136,council_tax,1,2,True,medium,web,routine form completion question,low
CASE-00137,children_services,0,1,False,low,web,safeguarding concern raised by family member,medium
CASE-00138,benefits,8,3,False,medium,web,routine form completion question,low
CASE-00139,benefits,4,4,True,high,web,missed appointment causing inconvenience,medium
CASE-00140,highways,2,5,False,medium,web,minor issue reported online,low
CASE-00141,benefits,13,3,True,medium,phone,repair delay affecting daily routine,high
CASE-00142,council_tax,9,1,False,medium,phone,repeat contact and resident is frustrated,low
CASE-00143,housing,12,2,False,low,email,urgent care support appears to be failing,medium
CASE-00144,waste,7,2,False,high,email,request for update when possible,low
CASE-00145,waste,0,5,False,high,in_person,request for update when possible,medium
CASE-00146,waste,7,2,False,medium,email,minor issue reported online,low
CASE-00147,housing,6,2,False,medium,web,missed appointment causing inconvenience,low
CASE-00148,benefits,5,5,False,low,phone,missed appointment causing inconvenience,medium
CASE-00149,housing,6,1,False,medium,email,repeat contact and resident is frustrated,low
CASE-00150,waste,0,0,False,low,in_person,routine form completion question,low
CASE-00151,adult_social_care,6,1,True,medium,phone,missed appointment causing inconvenience,high
CASE-00152,adult_social_care,0,4,True,high,email,risk of homelessness within days,high
CASE-00153,council_tax,3,1,True,medium,phone,routine form completion question,medium
CASE-00154,adult_social_care,11,5,False,high,phone,routine form completion question,high
CASE-00155,waste,5,4,False,low,phone,urgent care support appears to be failing,high
CASE-00156,council_tax,2,4,False,low,email,request for update when possible,low
CASE-00157,housing,1,1,False,low,web,missed appointment causing inconvenience,low
CASE-00158,housing,6,0,False,high,email,missed appointment causing inconvenience,low
CASE-00159,highways,8,2,False,medium,phone,no heating and vulnerable resident affected,medium
CASE-00160,children_services,0,5,True,medium,web,no heating and vulnerable resident affected,high
CASE-00161,council_tax,11,2,False,medium,web,missed appointment causing inconvenience,low
CASE-00162,highways,10,2,False,low,web,repeat contact and resident is frustrated,low
CASE-00163,highways,0,2,True,medium,web,repair delay affecting daily routine,low
CASE-00164,housing,4,0,False,low,phone,minor issue reported online,low
CASE-00165,highways,8,4,False,medium,phone,missed appointment causing inconvenience,medium
CASE-00166,children_services,11,0,False,low,email,unsafe road defect near school entrance,high
CASE-00167,benefits,3,4,False,medium,web,no heating and vulnerable resident affected,medium
CASE-00168,highways,5,3,False,medium,web,routine form completion question,low
CASE-00169,adult_social_care,9,2,False,high,phone,request for update when possible,medium
CASE-00170,highways,2,1,True,low,web,risk of homelessness within days,medium
CASE-00171,housing,1,5,False,medium,email,routine form completion question,low
CASE-00172,children_services,2,0,False,low,email,payment query needs resolution this week,low
CASE-00173,adult_social_care,1,1,False,medium,phone,unsafe road defect near school entrance,medium
CASE-00174,housing,8,2,False,medium,phone,general enquiry about service times,low
CASE-00175,waste,10,5,False,medium,web,payment query needs resolution this week,medium
CASE-00176,adult_social_care,9,2,False,high,web,minor issue reported online,medium
CASE-00177,council_tax,11,2,True,medium,email,missed appointment causing inconvenience,medium
CASE-00178,adult_social_care,0,1,False,medium,web,payment query needs resolution this week,low
CASE-00179,benefits,8,4,True,medium,phone,urgent care support appears to be failing,high
CASE-00180,highways,6,1,False,medium,web,urgent care support appears to be failing,medium
CASE-00181,adult_social_care,0,0,False,high,phone,request for update when possible,medium
CASE-00182,council_tax,4,5,True,medium,web,urgent care support appears to be failing,high
CASE-00183,council_tax,2,2,False,high,web,repair delay affecting daily routine,low
CASE-00184,benefits,4,4,True,low,email,safeguarding concern raised by family member,high
CASE-00185,waste,8,0,False,medium,web,routine form completion question,low
CASE-00186,housing,1,0,False,medium,phone,request for update when possible,low
CASE-00187,council_tax,2,6,False,high,phone,request for update when possible,medium
CASE-00188,highways,8,0,False,low,email,risk of homelessness within days,medium
CASE-00189,children_services,10,4,False,low,web,risk of homelessness within days,high
CASE-00190,highways,2,0,False,medium,phone,minor issue reported online,low
CASE-00191,waste,3,4,False,low,web,minor issue reported online,low
CASE-00192,children_services,2,0,False,low,phone,minor issue reported online,low
CASE-00193,benefits,7,2,False,medium,web,minor issue reported online,low
CASE-00194,highways,0,1,False,low,phone,general enquiry about service times,low
CASE-00195,council_tax,0,2,False,medium,web,missed appointment causing inconvenience,low
CASE-00196,benefits,6,1,False,low,email,repair delay affecting daily routine,low
CASE-00197,housing,10,3,False,high,phone,repeat contact and resident is frustrated,high
CASE-00198,highways,4,3,False,high,phone,payment query needs resolution this week,medium
CASE-00199,council_tax,0,3,False,low,phone,missed appointment causing inconvenience,medium
CASE-00200,waste,10,3,True,medium,email,no heating and vulnerable resident affected,high
CASE-00201,benefits,2,1,True,low,web,unsafe road defect near school entrance,medium
CASE-00202,children_services,0,2,False,medium,phone,request for update when possible,low
CASE-00203,highways,4,6,True,low,phone,unsafe road defect near school entrance,high
CASE-00204,benefits,8,1,False,high,email,safeguarding concern raised by family member,medium
CASE-00205,highways,10,0,False,medium,web,unsafe road defect near school entrance,medium
CASE-00206,council_tax,2,0,False,medium,web,request for update when possible,low
CASE-00207,housing,0,1,True,low,in_person,risk of homelessness within days,high
CASE-00208,adult_social_care,6,1,False,low,web,missed appointment causing inconvenience,low
CASE-00209,council_tax,8,0,False,high,email,routine form completion question,low
CASE-00210,adult_social_care,3,6,False,high,email,general enquiry about service times,medium
CASE-00211,highways,0,6,False,high,email,missed appointment causing inconvenience,low
CASE-00212,highways,3,2,True,low,web,missed appointment causing inconvenience,low
CASE-00213,children_services,1,1,False,medium,web,risk of homelessness within days,medium
CASE-00214,adult_social_care,6,1,True,medium,web,general enquiry about service times,medium
CASE-00215,highways,7,0,False,medium,phone,unsafe road defect near school entrance,medium
CASE-00216,council_tax,7,1,False,medium,web,request for update when possible,low
CASE-00217,benefits,10,3,False,high,email,repeat contact and resident is frustrated,medium
CASE-00218,benefits,1,0,False,medium,web,missed appointment causing inconvenience,low
CASE-00219,adult_social_care,0,4,True,medium,phone,no heating and vulnerable resident affected,high
CASE-00220,benefits,7,2,False,medium,phone,general enquiry about service times,low
CASE-00221,children_services,8,1,True,medium,phone,routine form completion question,high
CASE-00222,adult_social_care,6,3,False,high,phone,routine form completion question,high
CASE-00223,waste,2,3,False,medium,web,routine form completion question,low
CASE-00224,council_tax,0,4,False,high,in_person,payment query needs resolution this week,medium
CASE-00225,children_services,6,2,True,high,email,general enquiry about service times,high
CASE-00226,housing,7,0,True,medium,phone,routine form completion question,medium
CASE-00227,benefits,9,4,True,low,email,urgent care support appears to be failing,high
CASE-00228,children_services,6,1,False,low,phone,minor issue reported online,medium
CASE-00229,benefits,9,4,False,medium,phone,risk of homelessness within days,high
CASE-00230,highways,2,1,False,low,web,missed appointment causing inconvenience,low
CASE-00231,highways,3,0,False,medium,web,payment query needs resolution this week,low
CASE-00232,adult_social_care,5,0,False,medium,web,missed appointment causing inconvenience,medium
CASE-00233,council_tax,11,0,False,medium,phone,request for update when possible,low
CASE-00234,highways,8,5,False,low,web,payment query needs resolution this week,low
CASE-00235,council_tax,9,1,False,high,web,repair delay affecting daily routine,low
CASE-00236,highways,2,2,False,low,in_person,repair delay affecting daily routine,low
CASE-00237,highways,9,0,False,low,phone,payment query needs resolution this week,low
CASE-00238,adult_social_care,0,1,False,high,phone,repair delay affecting daily routine,medium
CASE-00239,children_services,4,3,False,medium,web,routine form completion question,medium
CASE-00240,benefits,0,5,False,medium,email,general enquiry about service times,low
CASE-00241,waste,7,2,True,low,phone,routine form completion question,medium
CASE-00242,housing,5,2,True,low,phone,general enquiry about service times,medium
CASE-00243,council_tax,6,4,False,low,web,minor issue reported online,low
CASE-00244,highways,3,0,False,high,phone,request for update when possible,low
CASE-00245,children_services,9,3,False,low,web,repeat contact and resident is frustrated,medium
CASE-00246,council_tax,0,2,True,medium,email,repeat contact and resident is frustrated,low
CASE-00247,housing,3,5,True,low,email,urgent care support appears to be failing,high
CASE-00248,housing,0,4,True,low,web,routine form completion question,medium
CASE-00249,highways,7,1,True,high,web,no heating and vulnerable resident affected,high
CASE-00250,highways,1,1,True,high,web,payment query needs resolution this week,medium
CASE-00251,highways,9,1,True,medium,email,routine form completion question,medium
CASE-00252,benefits,4,1,False,low,web,request for update when possible,low
CASE-00253,highways,9,0,False,high,web,routine form completion question,low
CASE-00254,benefits,3,0,False,low,phone,repair delay affecting daily routine,low
CASE-00255,housing,12,1,False,high,in_person,missed appointment causing inconvenience,medium
CASE-00256,adult_social_care,9,1,True,medium,web,risk of homelessness within days,high
CASE-00257,highways,1,1,False,low,web,routine form completion question,low
CASE-00258,benefits,1,4,False,medium,web,urgent care support appears to be failing,medium
CASE-00259,highways,2,3,False,medium,web,payment query needs resolution this week,low
CASE-00260,children_services,5,1,False,high,web,request for update when possible,medium
CASE-00261,benefits,11,3,True,high,web,repeat contact and resident is frustrated,high
CASE-00262,children_services,6,3,False,low,web,request for update when possible,medium
CASE-00263,children_services,0,1,False,medium,email,risk of homelessness within days,medium
CASE-00264,children_services,1,3,False,high,phone,no heating and vulnerable resident affected,high
CASE-00265,council_tax,1,0,False,medium,phone,unsafe road defect near school entrance,medium
CASE-00266,waste,1,0,True,low,phone,missed appointment causing inconvenience,medium
CASE-00267,waste,4,3,False,high,phone,general enquiry about service times,medium
CASE-00268,council_tax,2,1,True,medium,web,payment query needs resolution this week,low
CASE-00269,waste,5,1,False,high,phone,missed appointment causing inconvenience,low
CASE-00270,council_tax,3,0,False,low,phone,safeguarding concern raised by family member,medium
CASE-00271,council_tax,4,2,True,medium,web,safeguarding concern raised by family member,medium
CASE-00272,children_services,5,3,False,medium,email,repair delay affecting daily routine,medium
CASE-00273,waste,0,3,True,low,web,unsafe road defect near school entrance,high
CASE-00274,benefits,5,3,True,high,email,repair delay affecting daily routine,high
CASE-00275,highways,7,1,True,medium,phone,request for update when possible,medium
CASE-00276,waste,8,0,False,high,phone,no heating and vulnerable resident affected,medium
CASE-00277,adult_social_care,0,6,False,medium,web,risk of homelessness within days,high
CASE-00278,benefits,4,3,True,low,web,risk of homelessness within days,high
CASE-00279,children_services,6,2,False,high,email,general enquiry about service times,medium
CASE-00280,waste,6,6,False,low,email,repair delay affecting daily routine,low
CASE-00281,housing,6,1,False,high,email,minor issue reported online,low
CASE-00282,benefits,1,0,False,low,web,general enquiry about service times,low
CASE-00283,benefits,2,2,False,low,web,no heating and vulnerable resident affected,low
CASE-00284,children_services,10,5,False,high,email,request for update when possible,high
CASE-00285,council_tax,7,1,False,low,phone,payment query needs resolution this week,low
CASE-00286,council_tax,1,3,False,medium,phone,repair delay affecting daily routine,low
CASE-00287,waste,5,0,False,medium,phone,repair delay affecting daily routine,low
CASE-00288,children_services,0,1,False,medium,web,minor issue reported online,low
CASE-00289,benefits,7,4,True,high,web,repeat contact and resident is frustrated,high
CASE-00290,children_services,0,2,True,high,web,unsafe road defect near school entrance,high
CASE-00291,highways,10,1,True,medium,web,missed appointment causing inconvenience,medium
CASE-00292,housing,7,0,False,medium,web,routine form completion question,low
CASE-00293,children_services,3,4,True,low,web,unsafe road defect near school entrance,high
CASE-00294,adult_social_care,0,4,False,high,phone,repeat contact and resident is frustrated,medium
CASE-00295,housing,3,0,False,medium,email,payment query needs resolution this week,low
CASE-00296,housing,7,0,False,low,phone,routine form completion question,low
CASE-00297,adult_social_care,5,2,False,medium,web,no heating and vulnerable resident affected,medium
CASE-00298,council_tax,10,1,False,medium,web,general enquiry about service times,low
CASE-00299,children_services,8,2,False,medium,phone,unsafe road defect near school entrance,high
CASE-00300,adult_social_care,8,4,False,medium,phone,routine form completion question,medium
CASE-00301,children_services,7,2,True,high,email,urgent care support appears to be failing,high
CASE-00302,waste,5,0,False,medium,phone,minor issue reported online,low
CASE-00303,adult_social_care,2,0,False,high,phone,repair delay affecting daily routine,medium
CASE-00304,council_tax,9,1,False,low,email,general enquiry about service times,low
CASE-00305,council_tax,7,0,False,low,phone,minor issue reported online,low
CASE-00306,adult_social_care,5,4,False,medium,web,unsafe road defect near school entrance,high
CASE-00307,highways,10,1,False,medium,phone,request for update when possible,low
CASE-00308,highways,4,4,False,medium,web,repeat contact and resident is frustrated,low
CASE-00309,adult_social_care,7,1,True,high,web,risk of homelessness within days,high
CASE-00310,adult_social_care,3,3,False,low,web,general enquiry about service times,medium
CASE-00311,children_services,0,0,False,high,email,general enquiry about service times,low
CASE-00312,housing,9,1,False,high,phone,minor issue reported online,medium
CASE-00313,waste,4,3,False,high,web,no heating and vulnerable resident affected,medium
CASE-00314,highways,0,3,False,low,web,payment query needs resolution this week,low
CASE-00315,council_tax,9,1,False,high,in_person,minor issue reported online,low
CASE-00316,adult_social_care,4,2,False,medium,web,no heating and vulnerable resident affected,medium
CASE-00317,benefits,9,4,True,medium,in_person,unsafe road defect near school entrance,high
CASE-00318,waste,7,3,False,low,web,request for update when possible,low
CASE-00319,children_services,7,0,False,medium,phone,safeguarding concern raised by family member,high
CASE-00320,waste,8,0,False,low,phone,urgent care support appears to be failing,medium
CASE-00321,adult_social_care,2,1,True,medium,web,risk of homelessness within days,high
CASE-00322,benefits,8,1,False,medium,email,general enquiry about service times,low
CASE-00323,children_services,6,0,False,medium,phone,repair delay affecting daily routine,medium
CASE-00324,housing,1,0,True,high,web,minor issue reported online,medium
CASE-00325,waste,0,5,True,medium,web,safeguarding concern raised by family member,high
CASE-00326,waste,7,0,False,medium,web,routine form completion question,low
CASE-00327,waste,6,1,True,high,phone,repeat contact and resident is frustrated,medium
CASE-00328,children_services,7,2,False,high,web,repair delay affecting daily routine,medium
CASE-00329,adult_social_care,12,2,True,low,email,urgent care support appears to be failing,high
CASE-00330,adult_social_care,6,3,True,low,email,safeguarding concern raised by family member,high
CASE-00331,children_services,7,5,False,low,web,repair delay affecting daily routine,medium
CASE-00332,housing,4,1,False,medium,web,risk of homelessness within days,medium
CASE-00333,adult_social_care,5,0,False,medium,web,safeguarding concern raised by family member,medium
CASE-00334,highways,7,5,False,high,web,request for update when possible,medium
CASE-00335,children_services,10,1,False,medium,phone,minor issue reported online,medium
CASE-00336,adult_social_care,7,1,False,medium,phone,minor issue reported online,medium
CASE-00337,benefits,4,1,False,low,web,payment query needs resolution this week,low
CASE-00338,children_services,1,0,False,medium,email,safeguarding concern raised by family member,medium
CASE-00339,housing,4,0,False,high,web,no heating and vulnerable resident affected,medium
CASE-00340,council_tax,2,4,False,medium,web,general enquiry about service times,low
CASE-00341,children_services,0,0,True,high,email,urgent care support appears to be failing,high
CASE-00342,children_services,9,4,False,medium,phone,general enquiry about service times,medium
CASE-00343,housing,6,1,False,low,web,repeat contact and resident is frustrated,low
CASE-00344,benefits,4,3,False,medium,phone,payment query needs resolution this week,low
CASE-00345,housing,0,6,False,high,phone,repair delay affecting daily routine,medium
CASE-00346,housing,7,2,False,medium,web,general enquiry about service times,low
CASE-00347,council_tax,7,2,False,medium,in_person,repeat contact and resident is frustrated,low
CASE-00348,waste,6,4,False,low,phone,minor issue reported online,medium
CASE-00349,highways,2,0,True,high,phone,general enquiry about service times,medium
CASE-00350,highways,6,1,False,high,web,routine form completion question,low
CASE-00351,waste,9,3,False,low,web,general enquiry about service times,low
CASE-00352,benefits,2,3,False,medium,web,missed appointment causing inconvenience,low
CASE-00353,adult_social_care,7,4,False,high,web,safeguarding concern raised by family member,high
CASE-00354,highways,7,3,False,high,web,repair delay affecting daily routine,medium
CASE-00355,benefits,6,4,False,medium,web,request for update when possible,low
CASE-00356,benefits,0,5,False,high,phone,minor issue reported online,medium
CASE-00357,highways,2,1,False,medium,web,routine form completion question,low
CASE-00358,council_tax,0,3,True,high,email,minor issue reported online,medium
CASE-00359,children_services,11,3,False,low,in_person,minor issue reported online,high
CASE-00360,waste,9,0,False,medium,email,routine form completion question,low
CASE-00361,children_services,5,0,False,medium,web,repeat contact and resident is frustrated,low
CASE-00362,children_services,3,0,True,low,web,unsafe road defect near school entrance,high
CASE-00363,benefits,3,5,False,medium,web,risk of homelessness within days,medium
CASE-00364,highways,2,4,False,low,email,general enquiry about service times,low
CASE-00365,adult_social_care,5,3,False,low,web,repeat contact and resident is frustrated,medium
CASE-00366,children_services,7,2,False,low,web,safeguarding concern raised by family member,medium
CASE-00367,children_services,4,3,False,high,email,missed appointment causing inconvenience,medium
CASE-00368,council_tax,1,2,False,medium,web,unsafe road defect near school entrance,low
CASE-00369,benefits,6,1,False,high,phone,unsafe road defect near school entrance,medium
CASE-00370,council_tax,5,0,False,high,email,urgent care support appears to be failing,medium
CASE-00371,highways,0,3,False,low,web,general enquiry about service times,low
CASE-00372,benefits,0,1,False,medium,phone,payment query needs resolution this week,low
CASE-00373,council_tax,7,1,False,medium,web,repair delay affecting daily routine,low
CASE-00374,benefits,10,0,False,medium,web,minor issue reported online,low
CASE-00375,children_services,3,3,False,low,email,repeat contact and resident is frustrated,medium
CASE-00376,adult_social_care,7,4,False,medium,web,request for update when possible,medium
CASE-00377,adult_social_care,14,6,False,low,email,general enquiry about service times,medium
CASE-00378,council_tax,0,1,False,low,phone,request for update when possible,low
CASE-00379,adult_social_care,9,3,False,medium,web,risk of homelessness within days,high
CASE-00380,council_tax,7,0,False,low,email,general enquiry about service times,low
CASE-00381,adult_social_care,4,4,True,medium,web,unsafe road defect near school entrance,high
CASE-00382,benefits,6,1,False,high,in_person,routine form completion question,low
CASE-00383,adult_social_care,5,5,True,low,in_person,urgent care support appears to be failing,high
CASE-00384,highways,4,3,False,medium,phone,repeat contact and resident is frustrated,low
CASE-00385,housing,11,3,False,medium,web,payment query needs resolution this week,medium
CASE-00386,adult_social_care,5,2,False,low,phone,repair delay affecting daily routine,medium
CASE-00387,council_tax,10,4,True,low,web,safeguarding concern raised by family member,high
CASE-00388,children_services,8,1,False,medium,web,routine form completion question,low
CASE-00389,council_tax,10,1,False,high,email,missed appointment causing inconvenience,low
CASE-00390,children_services,5,3,False,low,web,minor issue reported online,medium
CASE-00391,housing,8,0,True,high,web,no heating and vulnerable resident affected,high
CASE-00392,council_tax,5,1,False,high,in_person,general enquiry about service times,low
CASE-00393,highways,8,1,True,medium,email,missed appointment causing inconvenience,medium
CASE-00394,council_tax,4,6,False,high,web,risk of homelessness within days,medium
CASE-00395,council_tax,6,2,False,high,email,missed appointment causing inconvenience,low
CASE-00396,waste,0,1,True,low,web,request for update when possible,low
CASE-00397,council_tax,2,2,False,medium,phone,payment query needs resolution this week,low
CASE-00398,children_services,0,6,False,low,phone,routine form completion question,medium
